cod_lab,cod_georef,cod_escuela,espacio,escuela_o_departamento,nombre_de_laboratorio,actividad,sede ,direccion,telefono,telefono_lab,telefono_responsable,email,email,identificacion,cargo,oficina,celular,email_univalle,codigo_pruebas_y_ensayos,grupo_de_investigacion,categoria,categoria_docente,equipo_robusto,ano_de_fundacion,m2,capacidad_estudiantes,capacidad_maxima_estudiantes,hora_semana,pce,resolución_de_creación,notas,personal 
0653,1,1,0,"INSTITUTO DE EDUCACIÓN 
Y PEDAGOGÍA (BUENAVENTURA)",Biología(BUENAVENTURA),DOCENCIA,"SEDE 
BUENAVENTURA",,,,,,,,,,,isaias.hurtado@correounivalle.edu.co,Prácticas de docencia,,,,,1988,"82,8",30,30,20,39%,,"El convenio que tienen con el SENA, hace que se reduzcan los espacios disponibles para almacenar material. No hay aire acondicionado","Si; (2, un docente y un auxiliar de laboratorio)"
0654,2,1,0,"INSTITUTO DE EDUCACIÓN 
Y PEDAGOGÍA (BUENAVENTURA)",Fisica(BUENAVENTURA),DOCENCIA,"SEDE 
BUENAVENTURA",,,,,,,,,,,isaias.hurtado@correounivalle.edu.co,Prácticas de docencia ,,,,,1988,"82,8",30,30,20,39%,,"El convenio que tienen con el SENA, hace que se reduzcan los espacios disponibles para almacenar material. No hay aire acondicionado","Si; (2, un docente y un auxiliar de laboratorio)"
0631,17,0,1,"ESCUELA DE INGENIERÍA ELECTRICA 
Y ELECTRÓNICA (CARTAGO)",Electrónica(CARTAGO),DOCENCIA,SEDE CARTAGO,,,,,,,,,,,neftali.torres@correounivalle.edu.co,"Prácticas de docencia en  ELECTRICIDAD PARA ELECTRÓNICA, FUENTES Y AMPLIFICADORES, MICROPROCESADORES 1 Y 2, AUTOMATAS LOGICOS PROGRAMABLES, CIRCUITOS DIGITALES, ELECTRÓNICA DE POTENCIA ",,,,,1996,,20,25,4,"14,00%",,El responsable del Laboratorio es nuevo en el cargo. En la primera visita se establecieron compromisos los cuales no han podido cumplir debido a que tiene muchas funciones en la sede y no cuenta con monitores o laboratorista que lo apoyen en el proyecto. Se tiene un plan de trabajo para el mes de Julio durante las vacaciones colectivas,1 (Docente)
0632,X,X,X,FACULTAD DE INGENIERÍAS (CARTAGO),Química(CARTAGO),DOCENCIA,SEDE CARTAGO,,,,,,,,,,,alexandra.chaverra@correounivalle.edu.co,"Biologia, química,física y bótanica",,,,,2015,"105,78",10,70,7,"42,70%",,Desde que iniciaron sus labores el semestre pasado el laboratorio ha tenido un avance significativo. Han recibido apoyo de parte de la sede de Zarzal y ahora cuenta con el apoyo profesional de la OPDI,"1 (Docente)
1 Monitor"
0633,18,0,1,FACULTAD DE INGENIERÍAS (CARTAGO),Alimentos(CARTAGO),DOCENCIA,SEDE CARTAGO,,,,,,,,,,,alexandra.chaverra@correounivalle.edu.co,"Biologia, química,física y bótanica",,,,,,,,,,"42,70%",,Desde que iniciaron sus labores el semestre pasado el laboratorio ha tenido un avance significativo. Han recibido apoyo de parte de la sede de Zarzal y ahora cuenta con el apoyo profesional de la OPDI.,
0691,16,1,306,"ESCUELA DE INGENIERÍA ELECTRICA 
Y ELECTRÓNICA (ZARZAL)",Electrónica(ZARZAL),DOCENCIA,SEDE ZARZAL,,,,,,,,,,,laboratorio.electronica.zarzal@correounivalle.edu.co,"Prácticas de docencia en Electronica Basica, Electronica de Potencia, Fuentes Y Amplificadores, Tecnicas Digitales, Fisica Experimental I y II, Microprocesadores I y II, PLC. ",,,,,1993,54,2,12,28,"35,00%",,,"1 (Docente)
1 (Laboratorista)"
0692,X,X,X,ESCUELA DE INGENIERÍA EN ALIMENTOS (ZARZAL),Química(ZARZAL),DOCENCIA,SEDE ZARZAL,,,,,,,,,,,martha.cadena@correounivalle.edu.co,"Prácticas de docencia en Química general, Química orgánica, Química de alimentos, Biología, Microbilogía de Alimentos, Control de calidad de cereales, Control de calidad de lácteos, Control de calidad de grasas y aceites, Control de Calidad de frutas y verduras, Control de Calidad de confiteria.",,,,,,,,,,"28,90%",,,"1 (Docente)
1 Monitor"
0671,13,1,0,"ESCUELA DE INGENIERÍA ELECTRICA 
Y ELECTRÓNICA (TULUA)",Electrónica(TULUA),DOCENCIA,SEDE TULUA,,,,,,Electrónica Básica(710197M),,,,,Fuentes y Amplificadores(710199M),Prácticas de docencia en Introducción a la tecnología en electrónica(710189M); Electricidad para electrónica(710196M); Electrónica Básica(710197M); Fuentes y Amplificadores(710199M); Circuitos Integrados(710198); Técnicas Digitales(710200M); Sistemas Electromecánicos(710191); Mediciones Electrónicas(710202M); Microprocesadores I (710204M); Sistemas Automáticos de Control(710201M); Sistemas de comunicación(710205M); Microprocesadores II (710209M); Control Electrónico de Potencia(); Instrumentación Electrónica(710190M);Experimentación Física I (106070) ; Experimentación Física II (106071M); Laboratorio de Física General I y II ; Arquitectura de computadores I y II (710192M) / (710193M),,,,,1992,"82,4",4,35,48,"56,70%",,Tiene programado para el mes de julio la demarcacion de las zonas operativas y de paso,"1 (Docente)
1 (Laboratorista)"
0672,12,1,1000,ESCUELA DE INGENIERÍA EN ALIMENTOS (TULUA),Alimentos(TULUA),DOCENCIA,SEDE TULUA,,,,,,Libardo Castañeda,,,,,libardo.castaneda@correounivalle.edu.co,Prácticas de docencia en Laboratorio de Química General 116050M - Laboratorio de Biología General 102120M - Química Orgánica General 116005M - Química de Alimentos 745007M - Microbiología de Alimentos 745032M- Tecnología de Cereales y Oleaginosas 745123M - Tecnología de Leches y productos Lácteos 745119M - Tecnología de Carnes y productos Cárnicos 745121M - Tecnología de Frutas y Verduras 745045M. ,,,,,1996,"82,5",20,30,20,"37,50%",,"Tienen actividades que se establecieron en la visita del mes de Mayo, pero que se van a ejecutar en Julio. Actualmente estan adecuando la infraestructura del laboratorio","1 (Docente)
1 (Laboratorista)
1 Monitor"
0621,6,1,0,INGENIERÍA (CAICEDONIA),"Química, Fisica y Biología",DOCENCIA,SDE CAICEDONIA,,,,,,Giovanny Molina,,,,,giovanny.molina@correounivalle.edu.co,"Prácticas de docencia de Biología, Química y Física.",,,,,2009,431,30,90,20,"57,50%",,"En el mes de mayo no se pudo realizar la visita, por lo tanto los avances se evidenciarán una vez hayan ejecutado las actividades que se establecieron","1 (Docente)
1 (Monitor)"
